                                     | Core 0    
  Instructions                       |    1805080
  Cycles                             |    1383466
  IPC                                |       1.30
  Time (ns)                          |     520100
  Idle time (ns)                     |        -20
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      96927
  num incorrect                      |       2403
  misprediction rate                 |      2.42%
  mpki                               |       1.33
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     184546
    num misses                       |         82
    miss rate                        |      0.04%
    mpki                             |       0.05
  D-TLB                              |           
    num accesses                     |     878064
    num misses                       |         64
    miss rate                        |      0.01%
    mpki                             |       0.04
  L2 TLB                             |           
    num accesses                     |        146
    num misses                       |        146
    miss rate                        |    100.00%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     184546
    num cache misses                 |       1199
    miss rate                        |      0.65%
    mpki                             |       0.66
  Cache L1-D                         |           
    num cache accesses               |     878064
    num cache misses                 |       3915
    miss rate                        |      0.45%
    mpki                             |       2.17
  Cache L2                           |           
    num cache accesses               |       5244
    num cache misses                 |       3223
    miss rate                        |     61.46%
    mpki                             |       1.79
  Cache L3                           |           
    num cache accesses               |       3511
    num cache misses                 |       3221
    miss rate                        |     91.74%
    mpki                             |       1.78
DRAM summary                         |           
  num dram accesses                  |       3220
  average dram access latency (ns)   |      69.19
  average dram queueing delay        |      15.77
  average dram bandwidth utilization |      5.22%
Coherency Traffic                    |           
  num loads from dram                |       1319
  num loads from dram cache          |          0
  num loads from remote cache        |          0
